"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 06 21:35:07 GMT 2024","Wed Nov 06 21:35:17 GMT 2024","10259","tests.test_api","test_api","TestAPI","","","PATCH Частично обновить задачу","Перемещение между колонками возможно только PUT запросом"
"passed","Wed Nov 06 21:38:22 GMT 2024","Wed Nov 06 21:38:22 GMT 2024","41","tests.test_footer","test_footer","TestFooter","","","Проверка размера шрифта ссылки 'Условия пользования' в футере",""
"passed","Wed Nov 06 21:35:17 GMT 2024","Wed Nov 06 21:35:26 GMT 2024","8766","tests.test_api","test_api","TestAPI","","","DELETE Удалить задачу",""
"passed","Wed Nov 06 21:32:39 GMT 2024","Wed Nov 06 21:32:42 GMT 2024","3496","tests.test_api","test_api","TestAPI","","","POST Пригласить пользователя по email","Пользователи добавляются по одному. Если пользователя не существует, он будет создан"
"passed","Wed Nov 06 21:41:19 GMT 2024","Wed Nov 06 21:41:19 GMT 2024","41","tests.test_header","test_header","TestHeader","","","Проверка цвета кнопки 'Войти' в хедере https://pulsewave.ru/",""
"passed","Wed Nov 06 21:46:48 GMT 2024","Wed Nov 06 21:46:48 GMT 2024","4","tests.test_workspace_page","test_workspace_page","TestWorkspacePage","","","W2. Проверка заголовка рабочего пространства",""
"passed","Wed Nov 06 21:39:09 GMT 2024","Wed Nov 06 21:39:09 GMT 2024","42","tests.test_footer","test_footer","TestFooter","","","Проверка цвета шрифта надписи 'info@pulsewave.ru' в футере",""
"passed","Wed Nov 06 21:46:11 GMT 2024","Wed Nov 06 21:46:13 GMT 2024","2301","tests.test_signup_page","test_signup_page","TestSignupPage","","","1.24 Регистрация с корректным email и паролем и пустым подтверждением пароля",""
"passed","Wed Nov 06 21:46:29 GMT 2024","Wed Nov 06 21:46:29 GMT 2024","89","tests.test_signup_page","test_signup_page","TestSignupPage","","","1.28 Окно регистрации сообщение 'Регистрируясь, я соглашаюсь с Условиями пользования и Политикой конфиденциальности'",""
"passed","Wed Nov 06 21:40:35 GMT 2024","Wed Nov 06 21:40:35 GMT 2024","96","tests.test_header","test_header","TestHeader","","","Проверка перехода на страницу 'https://pulsewave.ru/auth/login' по кнопке 'Войти'",""
"skipped","Wed Nov 06 21:37:52 GMT 2024","Wed Nov 06 21:37:52 GMT 2024","0","tests.test_footer","test_footer","TestFooter","","","test_get_footer_link[https://pulsewave.ru/auth/login-chrome]",""
