"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2787","S.9 Регистрация с корректным email и паролем и пустым подтверждением пароля","tests.ui_tests","Sun Dec 07 04:16:55 UTC 2025","passed","Sun Dec 07 04:16:58 UTC 2025","TestSignupPage","signup_page_test","",""
"","35","H.8 Проверка цвета кнопки 'Регистрация в хедере https://app.pulsewave.ru/auth/password?email='","tests.ui_tests","Sun Dec 07 04:13:41 UTC 2025","passed","Sun Dec 07 04:13:41 UTC 2025","TestHeader","header_test","",""
"","42","F.6 Проверка шрифта надписи '© PulseWave, 2023-2025' в футере","tests.ui_tests","Sun Dec 07 04:08:45 UTC 2025","passed","Sun Dec 07 04:08:46 UTC 2025","TestFooter","footer_test","",""
"","521","F.7 Проверка значка LinkedIn на странице 'https://app.pulsewave.ru/auth/signup' в футере","tests.ui_tests","Sun Dec 07 04:09:58 UTC 2025","passed","Sun Dec 07 04:09:58 UTC 2025","TestFooter","footer_test","",""
"","0","S.13 Окно регистрации сообщение 'Регистрируясь, я соглашаюсь с Условиями пользования и Политикой конфиденциальности'","tests.ui_tests","Sun Dec 07 04:17:11 UTC 2025","skipped","Sun Dec 07 04:17:11 UTC 2025","TestSignupPage","signup_page_test","",""
"","1512","W.6 Проверка перехода в Рабочие пространства по ссылке На главную","tests.ui_tests","Sun Dec 07 04:17:50 UTC 2025","passed","Sun Dec 07 04:17:51 UTC 2025","TestWorkspacePage","workspace_page_test","",""
"","43","R.2 Проверка цвета шрифта заголовка 'Восстановление пароля'","tests.ui_tests","Sun Dec 07 04:14:41 UTC 2025","passed","Sun Dec 07 04:14:41 UTC 2025","TestPasswordRecoveryPage","password_recovery_test","",""
"","72","F.9 Проверка перехода в LinkedIn на странице 'https://app.pulsewave.ru/auth/login' в футере","tests.ui_tests","Sun Dec 07 04:12:17 UTC 2025","passed","Sun Dec 07 04:12:17 UTC 2025","TestFooter","footer_test","",""
"","100","F.3 Проверка элемента 'info@pulsewave.ru'в хедере","tests.ui_tests","Sun Dec 07 04:00:33 UTC 2025","passed","Sun Dec 07 04:00:33 UTC 2025","TestFooter","footer_test","",""
"","57","F.5 Проверка размера шрифта надписи 'info@pulsewave.ru' в футере","tests.ui_tests","Sun Dec 07 04:02:51 UTC 2025","passed","Sun Dec 07 04:02:51 UTC 2025","TestFooter","footer_test","",""
"","551","H.8 Проверка цвета кнопки 'Регистрация в хедере https://app.pulsewave.ru/auth/login'","tests.ui_tests","Sun Dec 07 04:13:37 UTC 2025","passed","Sun Dec 07 04:13:38 UTC 2025","TestHeader","header_test","",""
"","53","F.5 Проверка цвета шрифта надписи 'info@pulsewave.ru' в футере","tests.ui_tests","Sun Dec 07 04:04:06 UTC 2025","passed","Sun Dec 07 04:04:06 UTC 2025","TestFooter","footer_test","",""
"","2358","L.4 Авторизация с корректными данными","tests.ui_tests","Sun Dec 07 04:14:05 UTC 2025","passed","Sun Dec 07 04:14:07 UTC 2025","TestLoginPage","login_page_test","",""
"","546","F.6 Проверка размера шрифта надписи '© PulseWave, 2023-2025' в футере","tests.ui_tests","Sun Dec 07 04:06:27 UTC 2025","passed","Sun Dec 07 04:06:28 UTC 2025","TestFooter","footer_test","",""
"","34","H.7 Проверка шрифта кнопки 'Войти' в хедере https://app.pulsewave.ru/auth/password?email=","tests.ui_tests","Sun Dec 07 04:13:13 UTC 2025","passed","Sun Dec 07 04:13:13 UTC 2025","TestHeader","header_test","",""
"","589","F.3 Проверка элемента 'info@pulsewave.ru'в хедере","tests.ui_tests","Sun Dec 07 04:00:38 UTC 2025","passed","Sun Dec 07 04:00:39 UTC 2025","TestFooter","footer_test","",""
