"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 14 03:31:05 GMT 2025","Sun Sep 14 03:31:08 GMT 2025","3111","tests.api_tests","api_test","TestAPI","","","A.12 DELETE Удалить РП",""
"passed","Sun Sep 14 03:48:15 GMT 2025","Sun Sep 14 03:48:15 GMT 2025","9","tests.ui_tests","footer_test","TestFooter","","","F.7 Проверка значка LinkedIn на странице 'https://app.pulsewave.ru/auth/password?email=' в футере",""
"passed","Sun Sep 14 03:54:26 GMT 2025","Sun Sep 14 03:54:34 GMT 2025","8164","tests.ui_tests","signup_page_test","TestSignupPage","","","S.8 Регистрация с корректными email и паролем без согласия на подписку",""
"passed","Sun Sep 14 03:52:21 GMT 2025","Sun Sep 14 03:52:21 GMT 2025","34","tests.ui_tests","login_page_test","TestLoginPage","","","L.2 Проверка размера шрифта заголовка 'Войти'",""
"passed","Sun Sep 14 03:37:35 GMT 2025","Sun Sep 14 03:37:35 GMT 2025","47","tests.ui_tests","footer_test","TestFooter","","","F.2 Проверка отсутствия ссылки на Лицензионное соглашение со страницы 'https://app.pulsewave.ru/auth/password?email=",""
"passed","Sun Sep 14 03:53:22 GMT 2025","Sun Sep 14 03:53:25 GMT 2025","3234","tests.ui_tests","password_recovery_test","TestPasswordRecoveryPage","","","R.4 Проверить сообщение об отправке ссылки восстановления пароля на емайл",""
"passed","Sun Sep 14 03:56:05 GMT 2025","Sun Sep 14 03:56:05 GMT 2025","623","tests.ui_tests","workspace_page_test","TestWorkspacePage","","","W.11 Проверка видимости уведомлений",""
"passed","Sun Sep 14 03:31:32 GMT 2025","Sun Sep 14 03:31:39 GMT 2025","7260","tests.api_tests","api_test","TestAPI","","","A.23 POST Подтверждение сброса пароля. Когда пользователь переходит по ссылке     auth/password/reset/confirm/{uid}/{token}",""
"passed","Sun Sep 14 03:35:22 GMT 2025","Sun Sep 14 03:36:24 GMT 2025","61930","tests.ui_tests","footer_test","TestFooter","","","F.1 Проверка попапа о принятии файлов cookie на странице https://app.pulsewave.ru/auth/password?email=",""
"passed","Sun Sep 14 03:43:23 GMT 2025","Sun Sep 14 03:43:23 GMT 2025","48","tests.ui_tests","footer_test","TestFooter","","","F.5 Проверка шрифта надписи 'info@pulsewave.ru' в футере",""
