"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","568","S.12 Окно регистрации сообщение 'Я согласен получать новости и обновления PulseWave'","tests.ui_tests","Wed Dec 31 04:19:42 UTC 2025","passed","Wed Dec 31 04:19:42 UTC 2025","TestSignupPage","signup_page_test","",""
"","3431","A.10 GET Информация о конкретном рабочем пространстве","tests.api_tests","Wed Dec 31 03:59:01 UTC 2025","passed","Wed Dec 31 03:59:05 UTC 2025","TestAPI","api_test","",""
"","62","F.9 Проверка перехода в LinkedIn на странице 'https://app.pulsewave.ru/auth/password?email=' в футере","tests.ui_tests","Wed Dec 31 04:15:26 UTC 2025","passed","Wed Dec 31 04:15:26 UTC 2025","TestFooter","footer_test","",""
"","531","H.8 Проверка цвета шрифта кнопки 'Регистрация в хедере https://app.pulsewave.ru/auth/login'","tests.ui_tests","Wed Dec 31 04:16:36 UTC 2025","passed","Wed Dec 31 04:16:37 UTC 2025","TestHeader","header_test","",""
"","3140","A.15 GET Список всех пользователей доски для назначения ответственных","tests.api_tests","Wed Dec 31 03:59:17 UTC 2025","passed","Wed Dec 31 03:59:20 UTC 2025","TestAPI","api_test","",""
"","2067","R.3  Проверка некликабельности кнопки 'Продолжить'","tests.ui_tests","Wed Dec 31 04:18:03 UTC 2025","passed","Wed Dec 31 04:18:06 UTC 2025","TestPasswordRecoveryPage","password_recovery_test","",""
"","543","A.27 POST Регистрация пользователя без пароля","tests.api_tests","Wed Dec 31 03:59:48 UTC 2025","passed","Wed Dec 31 03:59:49 UTC 2025","TestAPI","api_test","",""
"","60","M.2 Проверка кликабельности логотипа на лендинге","tests.ui_tests","Wed Dec 31 04:16:57 UTC 2025","passed","Wed Dec 31 04:16:57 UTC 2025","TestLendingPage","lending_test","",""
"","44","L.1 Проверка текста заголовка 'Войти'","tests.ui_tests","Wed Dec 31 04:17:06 UTC 2025","passed","Wed Dec 31 04:17:06 UTC 2025","TestLoginPage","login_page_test","",""
"","25","H.8 Проверка цвета кнопки 'Регистрация в хедере https://app.pulsewave.ru/auth/login'","tests.ui_tests","Wed Dec 31 04:16:48 UTC 2025","passed","Wed Dec 31 04:16:48 UTC 2025","TestHeader","header_test","",""
"","544","S.5 Проверка шрифта заголовка 'Регистрация'","tests.ui_tests","Wed Dec 31 04:19:03 UTC 2025","passed","Wed Dec 31 04:19:03 UTC 2025","TestSignupPage","signup_page_test","",""
"Создание доски без указания РП, будет создано дефолтное РП для этой доски","1366","A.14 POST Создать доску без указания РП","tests.api_tests","Wed Dec 31 03:59:16 UTC 2025","passed","Wed Dec 31 03:59:17 UTC 2025","TestAPI","api_test","",""
"","43","F.6 Проверка цвета шрифта надписи '© PulseWave, 2023-2025' в футере","tests.ui_tests","Wed Dec 31 04:10:36 UTC 2025","passed","Wed Dec 31 04:10:36 UTC 2025","TestFooter","footer_test","",""
"","2276","S.11 Регистрация с пустым email и сильным паролем и подтверждением пароля","tests.ui_tests","Wed Dec 31 04:19:37 UTC 2025","passed","Wed Dec 31 04:19:39 UTC 2025","TestSignupPage","signup_page_test","",""
"","2769","S.9 Регистрация с корректным email и паролем и пустым подтверждением пароля","tests.ui_tests","Wed Dec 31 04:19:26 UTC 2025","passed","Wed Dec 31 04:19:29 UTC 2025","TestSignupPage","signup_page_test","",""
"","2848","M.1 Проверка редиректа с /home на страницу лендинга","tests.ui_tests","Wed Dec 31 04:16:52 UTC 2025","passed","Wed Dec 31 04:16:55 UTC 2025","TestLendingPage","lending_test","",""
"","49","F.6 Проверка цвета шрифта надписи '© PulseWave, 2023-2025' в футере","tests.ui_tests","Wed Dec 31 04:10:33 UTC 2025","passed","Wed Dec 31 04:10:33 UTC 2025","TestFooter","footer_test","",""
"","1361","A.18 POST Обновить JWT refresh token авторизованного пользователя","tests.api_tests","Wed Dec 31 03:59:23 UTC 2025","passed","Wed Dec 31 03:59:25 UTC 2025","TestAPI","api_test","",""
"","12","F.7 Проверка значка LinkedIn на странице 'https://pulsewave.ru/' в футере","tests.ui_tests","Wed Dec 31 04:12:55 UTC 2025","passed","Wed Dec 31 04:12:55 UTC 2025","TestFooter","footer_test","",""
"","539","Проверка доступности https://api.pulsewave.ru/api/healthcheck/","tests.api_tests","Wed Dec 31 04:00:00 UTC 2025","passed","Wed Dec 31 04:00:01 UTC 2025","TestAvailability","availability_test","",""
"","56","F.8 Проверка кликабельности значка LinkedIn на странице 'https://app.pulsewave.ru/auth/login' в футере","tests.ui_tests","Wed Dec 31 04:14:09 UTC 2025","passed","Wed Dec 31 04:14:09 UTC 2025","TestFooter","footer_test","",""
"","808","S.16 Регистрация с корректным email и слабым паролем и подтверждением пароля","tests.ui_tests","Wed Dec 31 04:19:52 UTC 2025","passed","Wed Dec 31 04:19:53 UTC 2025","TestSignupPage","signup_page_test","",""
"","48","F.2 Проверка отсутствия ссылки на Лицензионное соглашение со страницы 'https://pulsewave.ru/","tests.ui_tests","Wed Dec 31 04:02:16 UTC 2025","passed","Wed Dec 31 04:02:16 UTC 2025","TestFooter","footer_test","",""
"","586","F.3 Проверка элемента 'info@pulsewave.ru'в хедере","tests.ui_tests","Wed Dec 31 04:03:33 UTC 2025","passed","Wed Dec 31 04:03:33 UTC 2025","TestFooter","footer_test","",""
"","0","S.13 Окно регистрации сообщение 'Регистрируясь, я соглашаюсь с Условиями пользования и Политикой конфиденциальности'","tests.ui_tests","Wed Dec 31 04:19:42 UTC 2025","skipped","Wed Dec 31 04:19:42 UTC 2025","TestSignupPage","signup_page_test","",""
"","570","F.9 Проверка перехода в LinkedIn на странице 'https://app.pulsewave.ru/auth/signup' в футере","tests.ui_tests","Wed Dec 31 04:15:22 UTC 2025","passed","Wed Dec 31 04:15:23 UTC 2025","TestFooter","footer_test","",""
"","810","S.16 Регистрация с корректным email и слабым паролем и подтверждением пароля","tests.ui_tests","Wed Dec 31 04:19:49 UTC 2025","passed","Wed Dec 31 04:19:49 UTC 2025","TestSignupPage","signup_page_test","",""
"","2202","H.2 Проверка редиректа на главную страницу при клике на логотип","tests.ui_tests","Wed Dec 31 04:15:28 UTC 2025","passed","Wed Dec 31 04:15:30 UTC 2025","TestHeader","header_test","",""
"","528","H.7 Проверка цвета шрифта кнопки 'Войти' в хедере https://app.pulsewave.ru/auth/signup","tests.ui_tests","Wed Dec 31 04:16:13 UTC 2025","passed","Wed Dec 31 04:16:14 UTC 2025","TestHeader","header_test","",""
"","42","F.6 Проверка размера шрифта надписи '© PulseWave, 2023-2025' в футере","tests.ui_tests","Wed Dec 31 04:09:25 UTC 2025","passed","Wed Dec 31 04:09:25 UTC 2025","TestFooter","footer_test","",""
"","8599","A.23 POST Подтверждение сброса пароля. Когда пользователь переходит по ссылке     auth/password/reset/confirm/{uid}/{token}","tests.api_tests","Wed Dec 31 03:59:32 UTC 2025","passed","Wed Dec 31 03:59:41 UTC 2025","TestAPI","api_test","",""
"","42","R.1 Проверка текста заголовка 'Восстановление пароля'","tests.ui_tests","Wed Dec 31 04:17:53 UTC 2025","passed","Wed Dec 31 04:17:53 UTC 2025","TestPasswordRecoveryPage","password_recovery_test","",""
"","2553","F.1 Проверка попапа о принятии файлов cookie на странице https://app.pulsewave.ru/auth/login","tests.ui_tests","Wed Dec 31 04:01:05 UTC 2025","passed","Wed Dec 31 04:01:08 UTC 2025","TestFooter","footer_test","",""
"","1121","A.2 POST Создать пользователя с корректными данными","tests.api_tests","Wed Dec 31 03:58:34 UTC 2025","passed","Wed Dec 31 03:58:35 UTC 2025","TestAPI","api_test","",""
"","796","S.7 Регистрация с некорректным email и сильным паролем и подтверждением пароля","tests.ui_tests","Wed Dec 31 04:19:12 UTC 2025","passed","Wed Dec 31 04:19:13 UTC 2025","TestSignupPage","signup_page_test","",""
"","3950","A.29 DELETE Активировать и удалить авторизованного пользователя","tests.api_tests","Wed Dec 31 03:59:50 UTC 2025","passed","Wed Dec 31 03:59:53 UTC 2025","TestAPI","api_test","",""
"","41","F.5 Проверка размера шрифта надписи 'info@pulsewave.ru' в футере","tests.ui_tests","Wed Dec 31 04:05:58 UTC 2025","passed","Wed Dec 31 04:05:58 UTC 2025","TestFooter","footer_test","",""
"","1276","W.9 Проверка возможности изменить цвет переключателя 'Непрочитанные'","tests.ui_tests","Wed Dec 31 04:20:43 UTC 2025","passed","Wed Dec 31 04:20:44 UTC 2025","TestWorkspacePage","workspace_page_test","",""
"","546","L.2 Проверка шрифта заголовка 'Войти'","tests.ui_tests","Wed Dec 31 04:17:14 UTC 2025","passed","Wed Dec 31 04:17:15 UTC 2025","TestLoginPage","login_page_test","",""
"","10396","R.5 Восстановить пароль на корректный емайл","tests.ui_tests","Wed Dec 31 04:18:14 UTC 2025","passed","Wed Dec 31 04:18:24 UTC 2025","TestPasswordRecoveryPage","password_recovery_test","",""
"","61","F.5 Проверка шрифта надписи 'info@pulsewave.ru' в футере","tests.ui_tests","Wed Dec 31 04:08:11 UTC 2025","passed","Wed Dec 31 04:08:11 UTC 2025","TestFooter","footer_test","",""
"","590","H.5 Проверка перехода на страницу 'https://app.pulsewave.ru/auth/login' по кнопке 'Войти'","tests.ui_tests","Wed Dec 31 04:15:57 UTC 2025","passed","Wed Dec 31 04:15:58 UTC 2025","TestHeader","header_test","",""
"","529","H.7 Проверка шрифта кнопки 'Войти' в хедере https://app.pulsewave.ru/auth/signup","tests.ui_tests","Wed Dec 31 04:16:19 UTC 2025","passed","Wed Dec 31 04:16:20 UTC 2025","TestHeader","header_test","",""
"","831","S.6 Окно регистрации сообщение 'Слабый пароль. Пароль должен содержать минимум 8 символов, включая буквы и цифры'","tests.ui_tests","Wed Dec 31 04:19:06 UTC 2025","passed","Wed Dec 31 04:19:07 UTC 2025","TestSignupPage","signup_page_test","",""
"","62","F.5 Проверка цвета шрифта надписи 'info@pulsewave.ru' в футере","tests.ui_tests","Wed Dec 31 04:07:00 UTC 2025","passed","Wed Dec 31 04:07:00 UTC 2025","TestFooter","footer_test","",""
"","3090","A.3 POST Активация пользователя с корректными данными","tests.api_tests","Wed Dec 31 03:58:35 UTC 2025","passed","Wed Dec 31 03:58:39 UTC 2025","TestAPI","api_test","",""
"","121","F.3 Проверка элемента 'info@pulsewave.ru'в хедере","tests.ui_tests","Wed Dec 31 04:03:27 UTC 2025","passed","Wed Dec 31 04:03:28 UTC 2025","TestFooter","footer_test","",""
"","687","Проверка доступности https://api.dev.pulsewave.ru/api/healthcheck/","tests.api_tests","Wed Dec 31 03:59:57 UTC 2025","passed","Wed Dec 31 03:59:58 UTC 2025","TestAvailability","availability_test","",""
"","1505","W.6 Проверка перехода в Рабочие пространства по ссылке На главную","tests.ui_tests","Wed Dec 31 04:20:25 UTC 2025","passed","Wed Dec 31 04:20:27 UTC 2025","TestWorkspacePage","workspace_page_test","",""
"","519","F.7 Проверка значка LinkedIn на странице 'https://app.pulsewave.ru/auth/signup' в футере","tests.ui_tests","Wed Dec 31 04:13:01 UTC 2025","passed","Wed Dec 31 04:13:01 UTC 2025","TestFooter","footer_test","",""
"","1565","A.16 POST Создать Рабочее пространство","tests.api_tests","Wed Dec 31 03:59:21 UTC 2025","passed","Wed Dec 31 03:59:22 UTC 2025","TestAPI","api_test","",""
"","43","F.5 Проверка шрифта надписи 'info@pulsewave.ru' в футере","tests.ui_tests","Wed Dec 31 04:08:20 UTC 2025","passed","Wed Dec 31 04:08:20 UTC 2025","TestFooter","footer_test","",""
"","34","H.8 Проверка цвета кнопки 'Регистрация в хедере https://app.pulsewave.ru/auth/password?email='","tests.ui_tests","Wed Dec 31 04:16:52 UTC 2025","passed","Wed Dec 31 04:16:52 UTC 2025","TestHeader","header_test","",""
"","10","F.7 Проверка значка LinkedIn на странице 'https://app.pulsewave.ru/auth/password?email=' в футере","tests.ui_tests","Wed Dec 31 04:13:04 UTC 2025","passed","Wed Dec 31 04:13:04 UTC 2025","TestFooter","footer_test","",""
"","534","H.8 Проверка цвета шрифта кнопки 'Регистрация в хедере https://app.pulsewave.ru/auth/password?email='","tests.ui_tests","Wed Dec 31 04:16:39 UTC 2025","passed","Wed Dec 31 04:16:40 UTC 2025","TestHeader","header_test","",""
"","838","A.28 POST Регистрация пользователя без подтверждения подписки","tests.api_tests","Wed Dec 31 03:59:49 UTC 2025","passed","Wed Dec 31 03:59:50 UTC 2025","TestAPI","api_test","",""
