"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","H.8 Проверка размера шрифта кнопки 'Регистрация в хедере https://app.pulsewave.ru/auth/password?email='","tests.ui_tests","Thu May 14 06:41:01 UTC 2026","passed","Thu May 14 06:41:01 UTC 2026","TestHeader","header_test","",""
"","383","S.16 Регистрация с корректным email и слабым паролем и подтверждением пароля","tests.ui_tests","Thu May 14 06:45:49 UTC 2026","passed","Thu May 14 06:45:49 UTC 2026","TestSignupPage","signup_page_test","",""
"","11977","A.13 POST Подтверждение приглашения в РП","tests.api_tests","Thu May 14 06:21:42 UTC 2026","passed","Thu May 14 06:21:54 UTC 2026","TestAPI","api_test","",""
"","62","F.8 Проверка кликабельности значка LinkedIn на странице 'https://app.pulsewave.ru/auth/login' в футере","tests.ui_tests","Thu May 14 06:37:53 UTC 2026","passed","Thu May 14 06:37:53 UTC 2026","TestFooter","footer_test","",""
"","2099","A.20 POST Запрос на смену почты","tests.api_tests","Thu May 14 06:22:09 UTC 2026","passed","Thu May 14 06:22:11 UTC 2026","TestAPI","api_test","",""
"","9","W.3 Проверка видимости аватара","tests.ui_tests","Thu May 14 06:46:30 UTC 2026","passed","Thu May 14 06:46:30 UTC 2026","TestWorkspacePage","workspace_page_test","",""
"","9176","R.4 Проверить сообщение об отправке ссылки восстановления пароля на емайл","tests.ui_tests","Thu May 14 06:43:11 UTC 2026","passed","Thu May 14 06:43:20 UTC 2026","TestPasswordRecoveryPage","password_recovery_test","",""
"","32","H.4 Проверка текста кнопки 'Регистрация'","tests.ui_tests","Thu May 14 06:39:54 UTC 2026","passed","Thu May 14 06:39:54 UTC 2026","TestHeader","header_test","",""
"","2864","F.1 Проверка попапа о принятии файлов cookie на странице https://app.pulsewave.ru/auth/signup","tests.ui_tests","Thu May 14 06:24:03 UTC 2026","passed","Thu May 14 06:24:06 UTC 2026","TestFooter","footer_test","",""
"","549","F.6 Проверка размера шрифта надписи '© PulseWave, 2023-2026' в футере","tests.ui_tests","Thu May 14 06:32:52 UTC 2026","passed","Thu May 14 06:32:52 UTC 2026","TestFooter","footer_test","",""
"","551","F.5 Проверка цвета шрифта надписи 'info@pulsewave.ru' в футере","tests.ui_tests","Thu May 14 06:30:24 UTC 2026","passed","Thu May 14 06:30:24 UTC 2026","TestFooter","footer_test","",""
