"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","521","F.7 Проверка значка LinkedIn на странице 'https://app.pulsewave.ru/auth/signup' в футере","tests.ui_tests","Fri Mar 27 05:19:02 UTC 2026","passed","Fri Mar 27 05:19:03 UTC 2026","TestFooter","footer_test","",""
"","853","S.6 Окно регистрации сообщение 'Слабый пароль. Пароль должен содержать минимум 8 символов, включая буквы и цифры'","tests.ui_tests","Fri Mar 27 05:25:16 UTC 2026","passed","Fri Mar 27 05:25:17 UTC 2026","TestSignupPage","signup_page_test","",""
"","3","W.1 Проверка перехода в рабочее пространство авторизованного пользователя","tests.ui_tests","Fri Mar 27 05:26:15 UTC 2026","passed","Fri Mar 27 05:26:15 UTC 2026","TestWorkspacePage","workspace_page_test","",""
"","40","H.3 Проверка текста кнопки 'Войти'","tests.ui_tests","Fri Mar 27 05:21:49 UTC 2026","passed","Fri Mar 27 05:21:49 UTC 2026","TestHeader","header_test","",""
"","84","F.8 Проверка кликабельности значка LinkedIn на странице 'https://pulsewave.ru/' в футере","tests.ui_tests","Fri Mar 27 05:20:08 UTC 2026","passed","Fri Mar 27 05:20:08 UTC 2026","TestFooter","footer_test","",""
"","79","F.5 Проверка размера шрифта надписи 'info@pulsewave.ru' в футере","tests.ui_tests","Fri Mar 27 05:11:46 UTC 2026","passed","Fri Mar 27 05:11:46 UTC 2026","TestFooter","footer_test","",""
"","553","F.6 Проверка цвета шрифта надписи '© PulseWave, 2023-2026' в футере","tests.ui_tests","Fri Mar 27 05:16:40 UTC 2026","passed","Fri Mar 27 05:16:40 UTC 2026","TestFooter","footer_test","",""
"Удаление как из участников так и из приглашенных","2205","A.6 POST Удаление приглашенного пользователей из РП","tests.api_tests","Fri Mar 27 05:04:28 UTC 2026","passed","Fri Mar 27 05:04:30 UTC 2026","TestAPI","api_test","",""
"","55","M.4 Проверка текста кнопки 'Бесплатная регистрация' на лендинге","tests.ui_tests","Fri Mar 27 05:23:07 UTC 2026","passed","Fri Mar 27 05:23:07 UTC 2026","TestLendingPage","lending_test","",""
"","70","F.9 Проверка перехода в LinkedIn на странице 'https://app.pulsewave.ru/auth/password?email=' в футере","tests.ui_tests","Fri Mar 27 05:21:29 UTC 2026","passed","Fri Mar 27 05:21:29 UTC 2026","TestFooter","footer_test","",""
